"","T1_Age","T1_Gender","T1_Ethnicity","T1_Education","T1_PolParty","ID","T6_ActPast_Prevent_Self","T6_ActPast_Prevent_Mask","T6_ActPast_Prevent_Sanitize","T6_ActPast_SocialDistance","T6_ActPast_SelfIsolate","T6_ActPresent_Prevent_Self","T6_ActPresent_Prevent_Mask","T6_ActPresent_Prevent_Sanitize","T6_ActPresent_SocialDistance","T6_ActPresent_SelfIsolate","T6_BFI_2_XS_extravert1","T6_BFI_2_XS_agreeable1","T6_BFI_2_XS_conscientious1","T6_BFI_2_XS_neurotic1","T6_BFI_2_XS_open1","T6_BFI_2_XS_extravert2","T6_BFI_2_XS_agreeable2","T6_BFI_2_XS_conscientious2","T6_BFI_2_XS_neurotic2","T6_BFI_2_XS_open2","T6_BFI_2_XS_extravert3","T6_BFI_2_XS_agreeable3","T6_BFI_2_XS_conscientious3","T6_BFI_2_XS_neurotic3","T6_BFI_2_XS_open3"
"127",27,1,4,5,3,127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"128",38,2,2,6,1,128,4,3,2,3,2,4,3,2,3,2,1,3,3,3,4,3,3,3,3,1,1,1,4,3,3
"129",37,1,2,6,2,129,4,4,2,4,3,4,4,2,4,3,3,2,1,1,1,1,1,1,0,2,3,1,3,3,2
"130",40,2,2,5,1,130,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"131",55,1,5,5,1,131,4,4,4,4,3,4,4,4,4,3,4,1,1,3,1,0,3,0,0,2,3,0,4,2,1
"132",37,2,2,6,1,132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"133",49,2,2,7,1,133,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"134",25,1,5,6,2,134,4,4,4,4,4,4,4,4,4,4,1,3,0,1,3,4,1,0,0,0,2,3,4,2,3
"135",44,2,1,6,1,135,4,4,4,4,4,4,4,4,4,4,4,4,0,2,1,0,1,0,2,3,1,4,4,3,1
"136",44,1,2,6,3,136,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"137",37,1,2,5,1,137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"138",37,1,2,6,3,138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"139",39,1,4,6,1,139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"140",48,1,2,6,1,140,1,2,0,1,0,1,2,0,2,0,3,3,0,0,2,2,1,1,0,0,3,4,4,4,3
"141",52,2,2,4,1,141,2,3,2,3,2,3,4,3,3,3,3,4,2,4,0,0,1,1,1,2,4,2,4,2,3
"142",37,2,2,6,1,142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"143",34,2,2,6,1,143,4,2,3,4,0,4,3,4,4,0,0,4,0,4,4,4,0,0,0,0,4,4,4,4,4
"144",26,2,2,6,1,144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"145",33,1,2,6,1,145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
